date,year,month,day,week,day_of_week
15-12-2024,2024,12,15,50,6
16-12-2024,2024,12,16,51,0
17-12-2024,2024,12,17,51,1
18-12-2024,2024,12,18,51,2
19-12-2024,2024,12,19,51,3
20-12-2024,2024,12,20,51,4
21-12-2024,2024,12,21,51,5
22-12-2024,2024,12,22,51,6
23-12-2024,2024,12,23,52,0
24-12-2024,2024,12,24,52,1
25-12-2024,2024,12,25,52,2
26-12-2024,2024,12,26,52,3
27-12-2024,2024,12,27,52,4
28-12-2024,2024,12,28,52,5
29-12-2024,2024,12,29,52,6
30-12-2024,2024,12,30,1,0
31-12-2024,2024,12,31,1,1
